Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/08/2024,08/09/2024,Amazon.com*RM4RB9CO1,Shopping,Sale,-81.93,
08/08/2024,08/09/2024,Amazon.com*RM1YJ8EH2,Shopping,Sale,-8.19,
08/04/2024,08/07/2024,MOVINGHELP.COM,Home,Return,5.95,
08/04/2024,08/06/2024,H MART BELMONT,Groceries,Sale,-37.07,
08/04/2024,08/06/2024,SAFEWAY #1612,Groceries,Sale,-18.31,
08/05/2024,08/06/2024,UBER   EATS,Food & Drink,Sale,-6.03,
08/04/2024,08/06/2024,TARGET        00027797,Shopping,Sale,-36.60,
08/05/2024,08/06/2024,USPS PO 4067630017,Shopping,Sale,-6.70,
08/05/2024,08/06/2024,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.10,
08/04/2024,08/05/2024,COSTCO WHSE #0002,Shopping,Sale,-174.95,
08/04/2024,08/05/2024,UBER   EATS,Food & Drink,Sale,-58.31,
08/02/2024,08/04/2024,MOVINGHELP.COM,Home,Sale,-233.85,
08/03/2024,08/04/2024,TST* JAYBEE'S CHICKEN - J,Food & Drink,Sale,-41.80,
08/01/2024,08/04/2024,THE HOME DEPOT 4018,Home,Sale,-9.48,
08/02/2024,08/04/2024,THE HOME DEPOT 4018,Home,Sale,-26.96,
08/03/2024,08/04/2024,COSTCO GAS #0009,Gas,Sale,-40.93,
08/03/2024,08/04/2024,COSTCO WHSE #0009,Shopping,Return,396.98,
08/02/2024,08/04/2024,COSTCO GAS #0009,Gas,Sale,-19.20,
08/01/2024,08/04/2024,U-HAUL STORAGE OF BEAVERT,Shopping,Sale,-41.39,
08/03/2024,08/04/2024,COSTCO WHSE #0009,Shopping,Sale,-3.99,
08/02/2024,08/04/2024,U-HAUL STORAGE OF BEAVERT,Automotive,Sale,-155.92,
08/02/2024,08/04/2024,U-HAUL STORAGE OF BEAVERT,Shopping,Sale,-8.95,
08/01/2024,08/02/2024,PORTLAND GENERAL ELECTRIC,Bills & Utilities,Sale,-69.62,
08/01/2024,08/02/2024,FRED-MEYER #0035,Groceries,Sale,-28.06,
08/01/2024,08/02/2024,SICHUAN TASTE,Food & Drink,Sale,-51.45,
07/31/2024,08/01/2024,TEA &amp; TEA INC,Food & Drink,Sale,-6.50,
07/31/2024,08/01/2024,AMAZON MKTPL*RV03C39X0,Shopping,Sale,-44.94,
07/29/2024,07/31/2024,MOVINGHELP.COM,Home,Sale,-239.80,
07/29/2024,07/30/2024,AMAZON MKTPL*RV7K191G1,Shopping,Sale,-33.92,
07/28/2024,07/30/2024,THE HOME DEPOT 4001,Home,Sale,-31.01,
07/28/2024,07/30/2024,SAFEWAY #1073,Groceries,Sale,-5.59,
07/29/2024,07/30/2024,Amazon.com*RV5CR65O0,Shopping,Sale,-3.97,
07/28/2024,07/30/2024,THE HOME DEPOT 4018,Home,Sale,-13.92,
07/28/2024,07/29/2024,COSTCO WHSE #0009,Shopping,Sale,-7.99,
07/27/2024,07/29/2024,TST* BUBBLE N TEA LLC,Food & Drink,Sale,-6.00,
07/28/2024,07/29/2024,AMAZON MKTPL*RV3K54BB2,Shopping,Sale,-21.80,
07/25/2024,07/28/2024,PYL*Greystar,Professional Services,Sale,-47.95,
07/26/2024,07/28/2024,PAR*FIVE GUYS - CEDAR HIL,Food & Drink,Sale,-19.47,
07/25/2024,07/28/2024,THE HOME DEPOT 4007,Home,Sale,-38.36,
07/27/2024,07/28/2024,CHIPOTLE 0512,Food & Drink,Sale,-20.95,
07/26/2024,07/28/2024,Amazon Prime*RV2PA2TS2,Bills & Utilities,Sale,-6.99,
07/26/2024,07/28/2024,DOLLAR TREE,Shopping,Sale,-6.50,
07/26/2024,07/28/2024,UEP*SUSHI CHIYO INC,Food & Drink,Sale,-10.05,
07/25/2024,07/26/2024,TARGET        00027797,Shopping,Sale,-4.68,
07/23/2024,07/25/2024,DUTCH BROS OR2304,Food & Drink,Sale,-5.25,
07/21/2024,07/23/2024,ASIAN FOOD CENTER,Groceries,Sale,-19.76,
07/20/2024,07/22/2024,MUD BAY BEAVERTON TOWN SQ,Shopping,Sale,-60.99,
07/21/2024,07/22/2024,COSTCO WHSE #0009,Shopping,Sale,-6.48,
07/21/2024,07/22/2024,TJMAXX #0343,Shopping,Sale,-24.95,
07/21/2024,07/22/2024,AMAZON MKTPL*RJ72W4EH2,Shopping,Sale,-1.37,
07/21/2024,07/22/2024,COSTCO WHSE #0009,Shopping,Sale,-89.17,
07/19/2024,07/21/2024,UWAJIMAYA,Groceries,Sale,-60.35,
07/18/2024,07/21/2024,McDonalds 2160,Food & Drink,Sale,-5.19,
07/18/2024,07/21/2024,SAFEWAY #1073,Groceries,Sale,-46.75,
07/18/2024,07/19/2024,FRED-MEYER #0035,Groceries,Sale,-24.42,
07/15/2024,07/16/2024,KNOWN TRAVELER CREDIT,Fees & Adjustments,Adjustment,100.00,
07/15/2024,07/16/2024,USCUSTOMS TRUSTEDTRAVELER,Bills & Utilities,Sale,-100.00,
07/14/2024,07/15/2024,DUTCH BROS OR0404 HILLSBO,Food & Drink,Sale,-11.40,
07/13/2024,07/14/2024,Payment Thank You - Web,,Payment,1338.82,
07/12/2024,07/14/2024,ASIAN FOOD CENTER,Groceries,Sale,-20.23,
07/12/2024,07/14/2024,SAFEWAY #1073,Groceries,Sale,-61.37,
07/12/2024,07/14/2024,COSTCO GAS #0009,Gas,Sale,-42.50,
07/12/2024,07/14/2024,XFINITY MOBILE,Bills & Utilities,Sale,-68.18,
07/12/2024,07/14/2024,COSTCO WHSE #0009,Shopping,Sale,-142.06,
07/12/2024,07/14/2024,COSTCO WHSE #0009,Shopping,Sale,-3.00,
07/12/2024,07/14/2024,COSTCO WHSE #0009,Shopping,Return,19.99,
07/12/2024,07/14/2024,BANFIELD 5267,Personal,Sale,-215.94,
07/11/2024,07/12/2024,UBER   EATS,Food & Drink,Sale,-17.56,
07/09/2024,07/09/2024,COMCAST CABLE COMM,Bills & Utilities,Sale,-30.00,
07/07/2024,07/09/2024,OFFICE DEPOT #3369,Shopping,Sale,-10.99,
07/07/2024,07/08/2024,TJMAXX #0343,Shopping,Sale,-14.00,
07/06/2024,07/08/2024,SAFEWAY #1073,Groceries,Sale,-15.26,
07/06/2024,07/07/2024,ICONICST2679,Shopping,Sale,-8.63,
07/06/2024,07/07/2024,ATLANTA AIRPORT,Food & Drink,Sale,-4.32,
07/06/2024,07/07/2024,ATLANTA AIRPORT,Food & Drink,Sale,-24.27,
07/05/2024,07/07/2024,BATAVIA III,Food & Drink,Sale,-12.68,
07/05/2024,07/07/2024,BATAVIA III,Food & Drink,Sale,-100.81,
07/02/2024,07/04/2024,HUDSON ST1861,Shopping,Sale,-9.99,
07/02/2024,07/04/2024,SAFEWAY #1073,Groceries,Sale,-21.24,
