Title,Location,Mode,Description,Qualifications,URL
GAM Payroll Program Manager,"Phoenix, Arizona, United States; Hillsboro, Oregon, United States; Folsom, California, United States",Job Category General,"Come join a dynamic, fast-paced team. The Americas is responsible for managing all aspects of U.S. and Canada payroll delivery and compliance including regular payroll, variable pay programs, foreign assignment payroll, and payroll tax for Intel's more than 50,000 North American employees.This role's primary responsibilities include but are not limited to:Acting as the project manager for payroll projects in the US and Canada by building a project plan, establishing key relationships with internal and external partners, and executing against the project planDefining requirements and configuration options for payroll, time reporting, and financial interfacesSupporting activities related to the HCM system functionality, including but not limited to testing technology updates and working with HR and IT on system configurations to meet regulatory requirements, process improvements, etc.Leading and driving Global Payroll system-related projects and initiativesProviding subject matter expertise on other HCM system configurations and initiatives as they relate to payroll business processesPartnering with internal organizations to influence payroll service design and delivery to achieve business objectivesEnsure payroll compliance with regulatory and internal policyContinuously driving improvements, automation, communication, and education to increase quality, improve employee experience, and enable rapid scalingManaging relationships with third-party vendors for payroll administrationAiding the Payroll team in issue resolution by researching problems, answering inquiries regarding payroll transactions, and training and coaching junior analysts on payroll concepts and issuesA successful candidate will demonstrate:Knowledge of payroll concepts with an understanding of payroll regulations and governmental reporting requirements in the US and CanadaAdvanced analytical, strong problem-solving skills, and attention to detailCan turn data into actionable informationComfortable dealing with ambiguous and complex work situations and multiple stakeholdersStrong leadership skills and desire to coach and develop othersExcellent communication and results-driven skillStrong stakeholder management and influencing skillsCommitment to working together as one team, exceeding service expectations by developing positive relationships and treating others with value and respect","You must possess the minimum qualifications to be initially considered for this position.Minimum Qualifications:The candidate must possess a Bachelor's or Master's degree in Finance or Accounting5+ years of experience in U.S. and Canadian payroll3+ years of experience with Workday and Microsoft OfficePreferred Qualifications:CPP (US), PCP or CPM (Canada) payroll certificationExperience driving Robotic Process Automation (RPA) and Robotic Desktop Automation (RDA)This position is not eligible for Intel immigration sponsorship",https://jobs.intel.com/en/job/phoenix/gam-payroll-program-manager/41147/48662568592
M&A Integration Program Manager,"Santa Clara, California, United States; San Diego, California, United States",Job Category Finance,"At Intel, we are innovating the future. We create world-changing technology that enables global progress and enriches the lives of every person on earth. Today, we stand at the brink of several technology disruptions - driven by four key superpowers: cloud, mobility fueled by 5G, artificial intelligence and; machine learning, and the intelligent edge. Intel is at the heart of these disruptions defining the art of possible. We're searching for a Senior M&A Integration PM who will work with Integration Leads from the Corp Development Integration team to support M&A activities - acquisitions, divestitures, and special projects. The successful candidate will work closely with partner organizations across Intel (HR, Finance, Tax, Trade, IPAS, CQN, IT, Infosec, Corporate Services, GSC, SMG, and the BUs). These partner organizations all have a crucial role as an acquired company is integrated into Intel BUs per the plan that is laid out by the Corp Dev Integration Lead. This role will include partnering with the Integration leads to successfully drive deals to closure. Program management know-how is expected from a successful candidate.Roles and Responsibilities:Partners with Integration lead to manage the project plan, driving closure on issues and gaps as well as maintaining focus on continuous improvementStakeholder management, including coordination of departmental or cross-functional/cross-organizational teams as well as communication within the organization, outward to other internal groupsAnalytical, planning, problem-solving, and decision-making skills in complex paradigmsSkills to build relationships, earn respect, and gain influence across organizationsExperience with modern Project Management tools and methodologiesSet up and manage tools used to manage integrations (Teams, VDR, Smartsheets)Facilitate Execution meetings, take notes, capture action itemsThe ideal candidate will have the following skills:Customer obsession: Recognizes and serves multiple customersExcellent communications skills to interface with all levels of the organization, specific strength in influencing decision-makers as well as setting and managing expectationsExperience identifying and resolving issues independently with a solid sense of accountability and sound personal judgmentStrategic view, performs cost-benefit analyses, accurately assesses risk, forecasts both long and short-term outcomes, and evaluates the implications in a complex business environment","Minimum qualifications are required to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates.Minimum Qualifications:The candidate must possess a Bachelor's degree in Business Administration, Finance, Business Management, Computer Science/Computer Engineering, or a related field2+ years of experience in M&A2+ years of tooling and analytics experience4+ years of experience managing complex large and multidisciplinary programs4+ years of experience in program management methodologies for schedules, cost, quality, and risksPreferred Qualifications:Experience in Corp Dev, and/or IMOSmartsheet experiencePMP or other Project Management certificationsThis position is not eligible for Intel immigration sponsorship",https://jobs.intel.com/en/job/santa-clara/m-and-a-integration-program-manager/41147/45737753088
LTD-TD Variability Reduction Program Manager,"Hillsboro, Oregon, United States",Job Category Engineering,"Join Intel and build a better tomorrow. Intel is engaged in an exciting transformation, with a vision to create and extend computing technology to connect and enrich the lives of every person on Earth. Join us and help create the next generation of technologies that will shape the future for decades to come. About the GroupTechnology Development (TD) is the heart and soul of Moore’s Law at Intel. TD has enabled Intel to create world-changing technology that enriches the lives of every person on earth. TD’s more than 13,000 employees drive breakthrough research, develop next generation process and packaging technologies, while also running high volume manufacturing operations in its state-of-the-art facilities in Oregon and Arizona. About the Role LTD's charter includes innovation of existing platforms core to supporting process technology development including consistently meeting or exceeding production output goals on first of kind equipment and making rapid progress on the development of future process tooling, recipes, and support models. Process variability reduction is core to the success of this charter.The Variability Reduction Program Manager is responsible for facilitating process variability reduction efforts across LTD's many complex organizations and delivering on tactical process variability reduction goals and strategic process variability reduction development plans. The Variability Program Manager is responsible for creating, refining, and maintaining business processes and infrastructure in support of process variability reduction as LTD delivers on technology development This includes working with LTD Area and Program Managers to support technical solutions and to meet commitments.Responsibilities include but are not limited to:Strategic Planning - Envisioning and articulating strategic plans that will fit across multiple process generations and integrate into the larger goals of the individual programs. Plans need to consider technology needs, commercial implications, production affordability, and environmental impacts. Partnering with senior managers - Close partnership with a wide variety of design, program, and fab managers and engineers to convert plans into action. Must be able to create, negotiate, and build acceptance and energy for new strategic plans across multiple internal and external groups rather than follow a predetermined roadmap. Culture - Needs to demonstrate organization and emotional intelligence to understand how work is completed, how to remove roadblocks, where human bandwidth is challenged, and quickly react before problems arise. Will be expected to fully support corporate initiatives and to develop a vibrant, diverse, and inclusive cultural environment where employees and bring their whole selves and contribute and grow to their maximum potentials. External Interactions - May need to collaborate with equipment and materials suppliers developing new technology. Lead efforts to have variability reduction included as a core requirement of new tool implementations. In concert with area managers, drive Intel's needs back into our suppliers' programs. Must be willing to occasionally work in a clean room environment wearing a gown, hood, booties, safety glasses and gloves. What we offer:We give you opportunities to transform technology and create a better future, by delivering products that touch the lives of every person on earth.As a global leader in innovation and new technology, we foster a collaborative, supportive, and exciting environment where the brightest minds in the world come together to achieve exceptional results.We offer a competitive salary and financial benefits such as bonuses, life and disability insurance, opportunities to buy Intel stock at a discounted rate, and Intel stock awards (eligibility at the discretion of Intel Corporation).We provide benefits that promote a healthy, enjoyable life: excellent medical plans, wellness programs, and amenities, time off, recreational activities, discounts on various products and services, and much more creative perks that make Intel a Great Place to Work.","QualificationsMaster or Ph.D. degree in Physics, Material Science, Chemical Engineering, Nuclear Engineering, Electrical Engineering, Mechanical Engineering, Chemistry, or a closely related field.15+ years of experience in research and/or work in the semiconductor industry10+ years of experience in setting priorities and driving technical initiatives for multiple engineering teams in a large organizationPreferred QualificationsDemonstrated skills in building a vibrant and inclusive organizational cultureExperience working in roles that require both daily tactical consistency as well as long term strategy definition and roadmap execution.Experience in collaborating with or working in major semiconductor suppliersDemonstrated ability to build partnerships with others to achieve goals.",https://jobs.intel.com/en/job/hillsboro/ltd-td-variability-reduction-program-manager/41147/48433392416
LTD Portland Community College Quick Start Semiconductor Training Program,"Hillsboro, Oregon, United States",Job Category Manufacturing,"Manufacturing Equipment Technicians perform electrical or mechanical troubleshooting to determine problems in non-functioning electro-mechanical equipment used in the manufacturing process. Dismantles, adjusts, repairs, and assembles equipment according to layout plans, blueprints, operating or repair manuals, rough sketches or drawings. May also perform set-up, calibration, and preventative maintenance on production equipment. Assignments are semi-routine in nature. Work performed within generally defined parameters. Some degree of judgment required in resolving non-standard problems. Normally receives general instructions on most work.Your day-to-day schedule will be full of amazing opportunities. As a Manufacturing Equipment Technician, you will be:Operating, maintaining, and repairing, and troubleshooting specialized processing equipment inside a clean room environmentCollecting data and communicating results to engineering teams to optimize equipment and process ​Performing complex tasks such as equipment installation, qualification, and troubleshooting​Solving problems with impact on factory performance and efficiencyA successful candidate must be willing to:Regularly lift loads up to 25 lbs.Wear closed toe shoes for the duration of shift. Walk 3-5 miles and stand or sit for up to 9 hours within a shift. Push carts for a distance of at least 500 m Climb and perform work on ladders or at heights. Spend the majority of work time (more than 90% less break time) in a clean room environment working on tool sets, processing wafers, and standing or sitting for extended periods of time.Work in a clean room environment wearing a gown, hood, booties, safety glasses and gloves for the duration of shift, with the possibility of using airline-supplied respiratorsWork on a night or day shift compressed work week schedule. Shifts are twelve hours long and alternate between three and four days a week. Perform detailed inspection tasks.Use job specific fixtures, basic hand tools, and potentially airline supplied respirators. This job posting is applicable for entry level Manufacturing Equipment Technician and compensation will be adjusted accordingly. This position is not eligible for Intel immigration sponsorship.","High school diploma or equivalent, to be completed by employment start dateSuccessful completion of Portland Community College Quick Start Semiconductor TrainingPreferred Qualifications:Experience with maintenance, repair, or troubleshooting equipment including inspection tasksExperience in interpreting schematics and drawings or diagramsExperience with using basic tools and potentially airline supplied respiratorsExperience using computer and general computer programs",https://jobs.intel.com/en/job/hillsboro/ltd-portland-community-college-quick-start-semiconductor-training-program/41147/42932150592
Automation Software Integration Contract Employee,"Hillsboro, Oregon, United States",Job Category Contract Employee,"Intel's Technology Development (TD) Process Logic Automation team is hiring an Automation Integration Engineer. As part of our team, you will partner with end users locally and across the globe in Fab Manufacturing and Engineering to deliver innovative solutions specially crafted for the ever-changing needs of our highly automated factories. To integrate these solutions, you will work closely with our Software Development teams and execute testing, implementation, troubleshooting and documentation of business processes. Our daily challenges include gathering requirements, analyzing existing processes and procedures, stakeholder management, prioritizing configuration changes in manufacturing execution systems and managing projects that support development and continuous improvement. Join us - and set the standard for automated business processes.Responsibilities include but are not limited to the following:Collaboration and engagement with internal customers/partners to identify emerging automation needs and trends.Provide guidance and recommendations to mitigate and solve technical and manufacturing challenges.Execute implementation and testing of application software releases.Adapt and prioritize work based on the changing needs of the factory.Provide L3 end user support by participating in on-call rotation.Co-develop tools/business processes that support efficiency.The candidate should also exhibit the following behavioral traits and/or skills:Proactive and willing to work in a dynamic and team-oriented environment. Enthusiastic collaborator and organizer and a self-starter.Collaborative and interpersonal skills, willing to influence and motivate others. Effectively communicate and articulate technical concepts in a clear and concise manner.Technical problem-solving skills.","You must possess the below minimum qualifications to be initially considered for this position.Minimum Qualifications:Bachelor's or Master’s degree in Information Systems, Computer Science, Industrial or Manufacturing Engineering or related field of study with 1+ years of experience with at least two of the following:Statistical Process Control (SPC)Structured Query Language (SQL)Data/File formats such as XML, CSV and tab-delimited filesSoftware/Systems Development Life Cycle (SDLC)Information Technology Infrastructure Library (ITIL) and DevOpsBusiness Process analysis and documentationPython, C, or C++ Programming LanguagesLEAN methodologies",https://jobs.intel.com/en/job/hillsboro/automation-software-integration-contract-employee/41147/48445990768
Facilities Power Distribution Electrical Engineer,"Albuquerque, New Mexico, United States",Job Category Facilities and Site Services,"Corporate Services (CS) touches the lives of every Intel employee every day. CS creates an environment where employees can prosper while creating the innovative technologies that make amazing possible. Our scope is vast and includes operating and maintaining all Intel sites, offices, labs and factories globally as well onsite services and experiences that help employees stay safe and productive. CS also helps to make Intel and our community a greener place by supporting Intel commitment to environmental sustainability, including investing in conservation projects, setting company-wide environmental targets and driving reductions in greenhouse emissions, energy use, water use and waste generation.Intel Corporation's state of the art facilities gives you the opportunity to learn a variety of technical and operational skills to develop, operate, maintain, and repair the world's most advanced facility equipment, in a demanding and challenging operations environment.Life at Intel link: https://www.intel.com/content/www/us/en/jobs/life-at-intel.htmlAs a Facilities Power Distribution Electrical Engineer your responsibilities will include but are not limited to: Primarily act as one of Intel's System Owner of the site's electrical operations and associated distribution system.Model the electrical power distribution system and track changes; Troubleshooting electrical system problems, conducting breaker coordination and arc flash studies, track electrical load and capacity, utilizing SKM and/or EasyPower system software.Deliver operational efficiency, maintenance, testing, and commissioning solutions; identify, qualify, and implement system upgrades; provide technical leadership to 3rd party support; respond to power outages and disturbances and lead the recovery effort; participate in cross site teams.Track, trend and analyze electrical system usage utilizing PME and ION power monitoring software.Some travel and rotational on call weekend engineering support will also be required.Project engineering responsibilities:Review and approve all electrical designs supporting the facility, effective collaboration with Project Managers and Project Engineers, architects, engineers and contractors on new construction/renovation projects.Reviewing electrical design specifications, submittals, studies and drawings; possessing thorough knowledge of low and medium voltage electrical distribution systems including transformers, low voltage substations, generators, and UPS systems, ability to review and challenge cost estimates, budgets and ROI analysis.Knowledge of the latest NEC codes, including life safety and building code, with skills to read and interpret design drawings and specifications.Help maintain the facilities document control system by ensuring electrical as-built drawings are incorporated into the master CAD drawings.Ensure electrical system model is up to date and all construction specifications, as-builts, O and M manuals and submittals are received after project close out.Help maintain and organize the document control storage area for fast retrieval of information (drawings, specifications, manuals, etc.).Work closely with Project Engineers, contractors and engineers on project design and close out documentation.Coordinate and oversee work of external consultant's CAD support.Provide input, support and validation of design and industrial engineering support on projects.Organize, set up and maintain a CAD/document control system.The successful candidate should exhibit the following behavioral traits:Commitment to safety, for yourself and those are around youSkills to collaborate effectively with a diverse, high-performing team to achieve challenging goalsWillingness to work on multiple projects and issues concurrently.Curiosity and a predisposition for learning and problem solving.Intel invests in our people and offers a complete and competitive package of benefits employees and their families through every stage of life.See https://www.intel.com/content/www/us/en/jobs/benefits.html for more details.","You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Position not eligible for Intel immigration sponsorship.Minimum Qualifications:Bachelor's degree in Electrical Engineering or similar technical degree with 2+ years of experience.Master's degree in Electrical Engineering or similar technical degree with 1+ year of experience.Preferred Qualifications:3+ years of experience:Maintenance, design, and/or operation of electrical switchgear, transformers, VFD's, diesel generators, static/rotary UPS, and low voltage distribution equipment.Low and medium voltage electrical power system (35kV and 12.47) maintenance, design, and/or operation. This includes electrical modeling, reviewing equipment drawings and submittals, troubleshooting electrical equipment issues, implementing protective device coordination studies, and load flow analysis.Computer software such as Microsoft Excel, Word, PowerPoint and Outlook.Communicating tactical concepts across a wide range of employees; engineering peers to operational technicians to management.Leading and working in a project team environment.",https://jobs.intel.com/en/job/albuquerque/facilities-power-distribution-electrical-engineer/41147/49239486784
LTD Manufacturing Equipment Technician,"Hillsboro, Oregon, United States",Job Category Manufacturing,"Manufacturing Equipment Technicians perform electrical or mechanical troubleshooting to determine problems in non-functioning electro-mechanical equipment used in the manufacturing process. Dismantles, adjusts, repairs, and assembles equipment according to layout plans, blueprints, operating or repair manuals, rough sketches or drawings. May also perform set-up, calibration, and preventative maintenance on production equipment. Assignments are semi-routine in nature. Work performed within generally defined parameters. Some degree of judgment required in resolving non-standard problems. Normally receives general instructions on most work.Intel Corporation's state-of-the-art processes and products give you the opportunity to learn a variety of technical and manufacturing skills, from operations to equipment repair and troubleshooting, in a demanding and challenging production environment.Life at Intel link: https://www.intel.com/content/www/us/en/jobs/life-at-intel.htmlAs a Manufacturing Equipment Technician in the Logic Technology Development Group (LTD), you will be responsible for technical and maintenance work to maintain the safety, quality, output, and cost performance of the manufacturing factory. In addition, you will support engineering and manufacturing activities aligned with factory priorities.Manufacturing Equipment Technicians operate, maintain, and repair specialized processing equipment inside a clean room environment. It includes performing operational tasks, preventative maintenance, and troubleshooting to determine problems with equipment used in the manufacturing process.Manufacturing Equipment Technicians may also conduct engineering tests and detailed experimental testing to collect data or assist in process development. Both operations and maintenance functions require proficiency in multi-tasking and basic computer skills. Work assignments are semi-routine in nature and the work is performed within defined parameters.Candidates must be willing to:Regularly lift to 25 lbs.   1- 3 times per shift.Wear closed-toe shoes for the duration of the shift.Walk 3-5 miles per shift and stand or sit for up to 9 hours within a shift. Push 100lb-200lb carts for a distance of at least 500 meters (about 1640.42 ft) 5-10 times per dayClimb and perform work on ladders or at heights of 10 to 30 feet. 2-3 times per week.Spend most of the work time (more than 90 percent less break time) in a clean room environment working on tool sets, processing wafers, and standing or sitting for extended periods of time.Work in a clean room environment wearing a gown, hood, booties, safety glasses, and gloves for the shift.Working on a night or day shift compressed workweek schedule. Shifts are twelve hours long and rotate from three to four days a week.The ideal candidate must proficiently:Perform Preventative Maintenance or troubleshooting on production equipment.Will need to be able to follow detailed instructions, and read schematics, drawings, and diagrams to Perform detailed visual inspections and perform maintenance tasksUse job-specific fixtures, basic hand tools, and potentially airline-supplied respirators for up to 12 hours a day.A successful candidate should also exhibit the following behavioral traits:Demonstrated effective communication skills. Be comfortable presenting issues and solutions.Work well in a diverse team environment.Work with minimal supervision and adjust to rapidly changing priorities.Produce quality results in a timely manner.Discipline and an ability to self-motivate.Strong analytical problem-solving and testing skills.Effective use of constructive confrontation to address issues.","Compensation will be determined based on skills, education, and relevant work experience: This position is not eligible for Intel immigration sponsorship. Candidates must be able to start within 6 months after accepting the offer. To meet the minimum qualifications for this position, you must have one or more of the following: Associate’s degree or Bachelor’s degree in a Mechanical or Electrical STEM field related to semiconductor manufacturing technology. Examples: Microelectronics, Mechatronics, Electronic Technology, Equipment Technology, Industrial Technology, Manufacturing Technology, Avionics Technology, Electrical, Chemical, Materials OR Semiconductor related Scientific STEM Degree. 3+ Years of Experience in Military training in Mechanics / Machinists / Electronics / Avionics / Automotive and Diesel Mechanics / Maintenance / EOD / Equipment / Repairers / Systems / Technician / Sonar Training / Aviation.3+ Years of Experience working in a position performing preventative maintenance, repair, and troubleshooting AND GED or High School Diploma.1+ Years of Experience working in a Semiconductor Clean Room Environment in a maintenance and/or equipment role AND GED OR High School Diploma.",https://jobs.intel.com/en/job/hillsboro/ltd-manufacturing-equipment-technician/41147/49011428288
LTD Manufacturing Technician Internship,"Hillsboro, Oregon, United States",Job Category Intern/Student,"Join Intel and build a better tomorrow. Intel is in the midst of an exciting transformation, with a vision to create and extend computing technology to connect and enrich the lives of every person on Earth. So join us, and help us create the next generation of technologies that will shape the future for decades to come.Join us and help create the next generation of technologies that will shape the future for decades to come. Intel LTD offers you a collaborative, supportive, and exciting environment where the brightest minds in the world come together to achieve exceptional results. We give you opportunities to transform technology and create a better future by delivering amazing products now and meeting emerging technology needs. Take a look at Life Inside Intel.You will be in a fast-paced and challenging environment performing functions associated with Wafer movement within the Oregon Factory.This position is not eligible for Intel immigration sponsorship.The position is part-time (20-32 hours a week during the school year, up to 40 hours a week on breaks/summers) with flexible hours around a student's school schedule while still in alignment with one of the following factory shifts:Shift 4 (Night): Sunday through Tuesday (every other Saturday) 7:30 PM to 8:00 AMShift 5: Sunday through Tuesday (every other Wednesday) 7:30 AM to 8:00 PMShift 6 (Night: Wednesday through Friday (every other Saturday) 7:30 PM  to 8:00 AMShift7: Thursday through Saturday (every other Wednesday) 7:30 AM to 8:00 PMIn this position your responsibilities will include, but not be limited to:The position will be hands-on, training on-site with factory floor presence.Perform functions associated with all wafer production including operations, equipment, process, and training.Run product in a safe and qualitative manner, multi-tasking, following procedures while executing to output goals.Equipment maintenance, repair, troubleshooting, defect reduction, and other duties as required, supporting fab objectives.Work from technical manuals, specifications, drawings/diagrams, and schematics, as well as follow, comprehend, and complete verbal and written instructions and procedures.Deliver a clear and concise pass down to peers and participate in resolving sustaining issues.Communicate with people at different levels of the organization including module technicians, managers, engineers, and others as needed.","You must possess the below minimum qualifications to be initially considered for this position. Relevant experience can be obtained through schoolwork, classes and project work, internships, military training, and/or work experience.Must be willing to lift 25 lbs.  This position requires frequent standing, walking, bending, and reaching.Spend most of the work time (more than 90% less break time) in a clean room environment working on tool sets, processing wafers, and standing or sitting for extended periods of time.Work in a clean room environment wearing a gown, hood, booties, safety glasses, and gloves for the duration of the shift.Perform Preventative Maintenance or troubleshooting on production equipment.Perform detailed visual inspection tasks.Use job-specific fixtures, basic hand tools, and potentially airline-supplied respirators. Minimum Requirements:Actively enrolled in a full-time local accredited institution and progressing as a student pursuing an AAS Degree or certification in a STEM, Technical, or Microprocessor Manufacturing related field. Related Fields include plumbing, welding, electrical, mechanics (diesel, car, avionics), HVAC, water treatment, life safety systems, robotics, instrumental, machinist, microelectronics, and electronic engineering technology.Willing to work at least 20 hours per week during one of the factory shifts. Work on a night or day shift compressed work week schedule. Shifts are twelve hours long and rotate from three to four days a week.Preferred Qualifications:Basic knowledge in any of the following areas: electronics, equipment troubleshooting, installation, repair, and operations.Experience performing hands-on, auto repair, welding, soldering, robotics, and crafting.",https://jobs.intel.com/en/job/hillsboro/ltd-manufacturing-technician-internship/41147/48245220384
Facilities UPW Technician,"Hillsboro, Oregon, United States",Job Category Facilities and Site Services,"Join Intel and build a better tomorrow. Intel is in the midst of an exciting transformation, with a vision to create and extend computing technology to connect and enrich the lives of every person on Earth. So join us and help us create the next generation of technologies that will shape the future for decades to come.Corporate Services (CS) touches the lives of every Intel employee every day. CS creates an environment where employees can prosper while creating the innovative technologies that make amazing possible. Our scope is vast and includes operating and maintaining all Intel sites, offices, labs and factories globally as well onsite services and experiences that help employees stay safe and productive. CS also helps to make Intel and our community a greener place by supporting Intel commitment to environmental sustainability, including investing in conservation projects, setting company-wide environmental targets and driving reductions in greenhouse emissions, energy use, water use and waste generation.Intel Corporation's state of the art facilities gives you the opportunity to learn a variety of technical and operational skills to develop, operate, maintain, and repair the world’s most advanced facility equipment, in a demanding and challenging operations environment.Life at Intel link: https://www.intel.com/content/www/us/en/jobs/life-at-intel.htmlAs a Facilities UPW Technician your responsibilities will include but are not limited to: Work as an Ultra-Pure water technician.Interact with engineering as well as other operation technicians maintaining ultra-pure water systems.Accountable for all TD operations on the Ronler Acres campus in Oregon.Operate and maintain ultra-pure water systems that support Technology Development (TD) facilities.Perform routine preventative and corrective maintenance procedures.Utilize quality systems and diagnosing process issues related to Reverse Osmosis, Filtration, Ion Exchange, Ultra Violet Light Sterilization, etc.Maintain analytical equipment and creating Statistical reports (Preventative Excursion Management Systems).Utilize Maximo Maintenance planning software.Interact with the factory and other customers and stakeholders.Perform repairs and preventative maintenance on a wide variety of building and facility equipment, fixtures and systems.Install, troubleshoot, repair and maintain a wide variety of facility plumbing, mechanical, electrical, heating and cooling systems.Conduct preventative maintenance inspections and performs required preventative maintenance duties.Assignments are semi-routine in nature.Work performed within generally defined parameters.The successful candidate should exhibit the following behavioral traits:Passion for safety.Skills to work well in a dynamic team environment.Team skills.Intel invests in our people and offers a complete and competitive package of benefits employees and their families through every stage of life.See https://www.intel.com/content/www/us/en/jobs/benefits.html for more details.",You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Position not eligible for Intel immigration sponsorship.Minimum Qualifications:The candidate must possess at least one of the following:Associate's degree in a STEM related field with 3+ years of experience in Ultra-Pure water operations or related facilities experience.Bachelor's degree in a STEM related field.3+ years of technical Military experience.8+ years of experience in Ultra-Pure water operations or comparable facilities experience in lieu of a degree.Candidate must be willing to work a compressed work week schedule. Shift is twelve hours long and rotates from three to four days a week.Preferred Qualifications:Water/ Purification Degree.David H. Paul UPW certification or equivalent would be an added advantage.Facilities maintenance experience.,https://jobs.intel.com/en/job/hillsboro/facilities-upw-technician/41147/46587871232
Graduate Technical Intern,"Hillsboro, Oregon, United States",Job Category Intern/Student,"You will join the Trusted and Distributed Intelligence Team, which is part of Security and Privacy Research (SPR) in Intel Labs. The mission of SPR is to establish trustworthiness as a fundamental value proposition on Intel platforms. This internship will focus on adversarial machine learning research, specifically for deep learning. In this position, you will join the Intel project team working on DARPA's Guaranteeing AI Robustness Against Deception (GARD) program to develop security solutions for machine learning systems.This job might be for you if:You enjoy solving complex problems. You are comfortable with ambiguity. You thrive in a small team attacking big problems. You aren't afraid to learn a new technology on your own to solve a problem. You are eager to share your learnings with others. You are concise and patient in both verbal and written communications. You are self-motivated to find answers and drive them to completion.Behavioral Traits:Strong communication and interpersonal skills. Candidate should be self-motivated, show initiative, and drive closure of technical issues, and present complex issues with clarity to drive decisions.This is an internship position and compensation will be given accordingly.","You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your work experience, graduate school, post-doc research and/or relevant internship experiences.Minimum Qualifications:The candidate must be pursuing a PhD degree in Computer Science, Electrical Engineering, Computer Engineering, or related technical discipline6+ months experience in one or more below areas:Machine Learning/Adversarial Machine Learning, Computer Vision, Deep Learning, Computer Architecture, Trustworthy Computing, and Formal Methods Strong software engineers with an emphasis on Python.",https://jobs.intel.com/en/job/hillsboro/graduate-technical-intern/41147/47962871872
